count,language_code,type
7805466,en,PER
7129130,nl,PER
4564199,es,PER
4264313,ast,PER
3133470,en,LOC
3077858,fr,PER
3009461,de,PER
2516779,sq,PER
2386696,sl,PER
2243266,ca,PER
1904005,it,PER
1590894,ceb,LOC
1548164,ga,PER
1497860,en,ORG
1404122,sv,PER
1376174,pt,PER
1276342,da,PER
1225282,nb,PER
983285,fi,PER
926124,nl,LOC
852416,nn,PER
850084,fr,LOC
801416,sv,LOC
788491,hu,PER
729051,de,LOC
728476,pl,PER
723349,zh,PER
703321,ru,PER
665465,cs,PER
645884,arz,PER
563426,es,LOC
550734,zh-hant,PER
525475,ar,PER
463503,ja,PER
452915,pl,LOC
423288,nl,ORG
420992,it,LOC
415174,gl,PER
412208,cy,PER
408280,lzh,PER
406907,fr,ORG
383350,pt,LOC
341221,ru,LOC
319334,ca,LOC
308758,ro,LOC
304972,ro,PER
304805,sk,PER
298168,id,PER
296258,uk,LOC
291924,zh,LOC
287505,nds,PER
287085,pt-br,PER
286083,cs,LOC
282521,es,ORG
276474,it,ORG
269705,eu,PER
269012,id,LOC
266649,eu,LOC
265037,ms,LOC
253578,nb,LOC
249738,ga,LOC
244093,de,ORG
243867,vi,LOC
239157,en-gb,LOC
238783,fa,LOC
238234,tr,PER
232863,ast,LOC
232616,et,PER
226704,fi,LOC
224142,nn,LOC
217055,eo,PER
215212,bar,PER
209882,af,PER
205741,sk,LOC
205602,fa,PER
204810,da,LOC
204110,lb,PER
203380,co,PER
200042,hr,PER
198796,en-gb,PER
196352,sh,LOC
195853,en-ca,LOC
195124,br,PER
191141,gsw,PER
189019,war,LOC
185150,cy,LOC
182989,tr,LOC
182179,lt,PER
181356,an,PER
178199,hu,LOC
176767,en-ca,PER
173626,oc,LOC
172328,vi,PER
168001,oc,PER
165847,ja,LOC
164797,sco,PER
164164,rm,PER
163309,uk,PER
162948,nds-nl,PER
156699,min,PER
152368,li,PER
152115,ce,LOC
151138,sl,LOC
145392,eo,LOC
143275,sc,PER
143151,ar,LOC
142177,ja,ORG
141911,vo,LOC
141778,ms,PER
139763,pms,PER
139343,gd,PER
138600,wa,PER
137270,de-ch,PER
136794,vec,PER
135787,pcd,PER
135515,scn,PER
134232,vls,PER
133798,de-at,PER
132753,lij,PER
131965,is,PER
131913,ast,ORG
131876,mg,PER
131634,fur,PER
131561,he,PER
131147,nap,PER
128962,sw,PER
128565,pt-br,LOC
124856,gl,LOC
123205,hr,LOC
123165,zh-hans,LOC
122777,ko,PER
119493,bg,LOC
118964,sco,LOC
114811,azb,LOC
114226,io,PER
111792,et,LOC
111565,ia,PER
111173,ie,PER
110945,vo,PER
110907,frp,PER
109300,nrm,PER
109248,zh,ORG
107082,zu,PER
105788,wo,PER
105600,kg,PER
102093,lt,LOC
101792,de-ch,LOC
99994,mg,LOC
98177,sr-el,PER
97699,zh-hant,LOC
97337,de-at,LOC
95145,ru,ORG
95113,min,LOC
94868,arz,LOC
94488,sr-el,LOC
93436,lb,LOC
92283,en-gb,ORG
92208,lv,PER
92081,pt,ORG
91835,br,LOC
91790,sw,LOC
91489,fi,ORG
90877,nds,LOC
90411,vec,LOC
90376,bar,LOC
89115,an,LOC
88716,sv,ORG
88495,af,LOC
88386,zh-hans,PER
88214,hy,LOC
88133,ur,LOC
87225,jv,PER
86353,scn,LOC
85716,ia,LOC
85412,io,LOC
84847,gd,LOC
84756,sc,LOC
83306,gsw,LOC
82632,ace,PER
81754,co,LOC
81709,pl,ORG
81430,tl,LOC
81300,is,LOC
81190,zu,LOC
80622,rm,LOC
